innovation,size,sector,man_exp,training,state,age
Not innovative,Small ,Other services,35,not provided,Sarawak,36
Not innovative,Small ,Manufacturing,21,provided,Johor,22
Not innovative,Large ,Manufacturing,15,provided,Johor,28
Innovative,Medium ,Manufacturing,30,not provided,Johor,36
Innovative,Medium ,Manufacturing,20,provided,Johor,21
Innovative,Medium ,Manufacturing,80,not provided,Johor,29
Innovative,Small ,Manufacturing,20,provided,Johor,23
Not innovative,Small ,Manufacturing,20,provided,Johor,16
Not innovative,Small ,Manufacturing,38,provided,Johor,40
Not innovative,Small ,Manufacturing,20,provided,Johor,26
Not innovative,Small ,Manufacturing,8,not provided,Johor,10
Innovative,Small ,Manufacturing,20,not provided,Johor,22
Not innovative,Large ,Manufacturing,23,not provided,Johor,27
Innovative,Large ,Manufacturing,26,provided,Johor,32
Innovative,Medium ,Manufacturing,,provided,Johor,17
Innovative,Medium ,Manufacturing,15,provided,Johor,31
Not innovative,Medium ,Manufacturing,5,not provided,Johor,24
Not innovative,Medium ,Manufacturing,3,not provided,Johor,18
Not innovative,Large ,Manufacturing,20,provided,Johor,21
Innovative,Large ,Manufacturing,11,provided,Johor,6
Innovative,Large ,Manufacturing,30,provided,Johor,31
Not innovative,Large ,Manufacturing,5,not provided,Johor,10
Not innovative,Large ,Manufacturing,30,not provided,Johor,31
Not innovative,Medium ,Manufacturing,6,provided,Johor,30
Innovative,Medium ,Manufacturing,20,provided,Johor,21
Innovative,Medium ,Manufacturing,19,provided,Johor,19
Not innovative,Small ,Other services,10,not provided,Johor,16
Innovative,Small ,Manufacturing,20,provided,Johor,4
Innovative,Large ,Manufacturing,30,provided,Johor,44
Not innovative,Large ,Manufacturing,15,provided,Johor,28
Not innovative,Small ,Manufacturing,20,not provided,Johor,21
Not innovative,Small ,Manufacturing,20,not provided,Johor,21
Not innovative,Large ,Manufacturing,12,not provided,Johor,31
Innovative,Large ,Manufacturing,25,provided,Johor,30
Not innovative,Small ,Manufacturing,20,not provided,Johor,29
Innovative,Small ,Other services,20,provided,Johor,30
Not innovative,Small ,Manufacturing,17,not provided,Johor,13
Innovative,Large ,Manufacturing,1,provided,Johor,21
Innovative,Large ,Manufacturing,12,provided,Johor,29
Not innovative,Large ,Manufacturing,17,provided,Johor,28
Not innovative,Small ,Manufacturing,20,not provided,Johor,16
Not innovative,Small ,Manufacturing,25,provided,Johor,26
Not innovative,Small ,Manufacturing,21,not provided,Johor,22
Innovative,Large ,Manufacturing,30,provided,Johor,47
Innovative,Large ,Manufacturing,40,provided,Johor,30
